date,ipAddress,editID,operation,preCurling,preFencing,preHockey,preScrollaction,curling,fencing,hockey,scrollaction,updatedColumn
"""2024/10/24 06:19:49""",::1,1001,update,90,121,1,90,11,121,1,90,curling
"""2024/10/24 06:21:41""",::1,1001,update,11,121,1,90,90,121,1,90,curling
"""2024/10/24 06:27:40""",::1,1001,delete,90,121,1,90,-1,-1,-1,-1,delete
"""2024/10/24 06:28:43""",::1,1000,create,-1,-1,-1,-1,-1,12,-1,-1,fencing
"""2024/10/24 06:53:44""",::1,2002,delete,-1,12,-1,-1,-1,-1,-1,-1,delete
"""2024/10/24 06:53:57""",::1,2004,delete,-1,-1,40,-1,-1,-1,-1,-1,delete
"""2024/10/24 06:54:32""",::1,2005,update,121,123,-1,20,121,123,100,20,hockey
"""2024/10/24 06:59:13""",::1,5000,create,-1,-1,-1,-1,11,-1,-1,-1,curling
"""2024/10/24 07:00:04""",::ffff:172.17.101.178,1001,create,-1,-1,-1,-1,-1,100,-1,-1,fencing
"""2024/10/24 07:59:03""",::1,1001,update,10,100,-1,-1,2,100,-1,-1,curling
"""2024/10/24 11:33:21""",::1,2001,update,90,-1,-1,-1,90,11,-1,-1,fencing
"""2024/10/24 15:52:39""",::1,1003,update,1,739,98,602,950,739,98,602,curling
"""2024/10/24 16:08:30""",::1,1004,update,656,972,491,938,463,972,491,938,curling
"""2024/10/25 01:45:10""",::1,2001,update,90,11,-1,-1,121,11,-1,-1,curling
"""2024/10/25 01:47:40""",::ffff:172.17.101.177,1001,update,2,100,-1,-1,2,10,-1,-1,fencing
"""2024/10/25 01:58:53""",::1,12309498198579183549814519,create,-1,-1,-1,-1,121,-1,-1,-1,curling
"""2024/10/25 01:59:30""",::1,398139561587168576158761857618591762385761895761983275618765891723958716248576234,create,-1,-1,-1,-1,1,-1,-1,-1,curling